"","COLLISION_TYPE","FATAL_OR_MAJ_INJ","DAY_OF_WEEK","CRASH_MONTH","CELL_PHONE","IMPAIRED_DRIVER","FATIGUE_ASLEEP","SPEEDING_RELATED","WEATHER","SPEED_LIMIT","DEC_LAT","DEC_LONG"
"47","Rear-end",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Rain",25,40.354599,-79.83460236
"48","Angle",FALSE,"Saturday",1,FALSE,FALSE,FALSE,TRUE,"Rain",45,40.53499985,-79.76490021
"49","Non collision",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Rain",25,40.46390152,-80.11239624
"50","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Sleet (hail)",25,40.4095993,-79.93840027
"51","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Rain",25,40.46210098,-79.98840332
"52","Rear-end",FALSE,"Saturday",1,FALSE,FALSE,FALSE,TRUE,"Rain",25,40.44670105,-79.99980164
"53","Angle",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Rain",40,40.32300186,-79.8207016
"54","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Rain",25,40.50159836,-80.06459808
"55","Rear-end",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Rain",10,40.4919014,-80.10790253
"56","Angle",FALSE,"Friday",1,FALSE,FALSE,FALSE,TRUE,"No adverse conditions",40,40.41930008,-79.84970093
"57","Rear-end",FALSE,"Saturday",1,FALSE,FALSE,FALSE,TRUE,"Rain",25,40.44749832,-79.93609619
"58","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,TRUE,"Sleet (hail)",35,40.60469818,-79.89040375
"59","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Rain",25,40.48059845,-79.93479919
"60","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,TRUE,"Sleet (hail)",35,40.46080017,-79.81390381
"61","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Rain",25,40.48059845,-79.93479919
"62","Sideswipe (Opposite dir.)",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Rain",25,40.47399902,-79.90440369
"63","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Sleet (hail)",45,40.48410034,-79.86250305
"64","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Rain",25,40.47399902,-79.90440369
"65","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Rain",35,40.49459839,-79.74739838
"66","Sideswipe (same dir.)",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Other",25,40.42480087,-79.92739868
"67","Sideswipe (same dir.)",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Other",15,40.42100143,-79.85520172
"68","Angle",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Sleet (hail)",30,40.4231987,-79.98149872
"69","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Rain",25,40.4654007,-79.99340057
"70","Angle",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Rain",25,40.4129982,-80.02490234
"71","Head-on",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Other",25,40.45080185,-80.05680084
"72","Head-on",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Rain",25,40.40620041,-79.92890167
"73","Rear-end",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Rain",25,40.42959976,-79.8615036
"74","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Rain",25,40.62620163,-79.97260284
"75","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,TRUE,"Rain",25,40.4742012,-79.82039642
"76","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Other",40,40.4231987,-79.85620117
"77","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Sleet (hail)",25,40.24100113,-79.84729767
"78","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,TRUE,"Sleet (hail)",25,40.39799881,-79.98670197
"79","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Other",25,40.46049881,-80.05560303
"80","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Rain",25,40.53590012,-79.9878006
"81","Angle",FALSE,"Saturday",1,FALSE,FALSE,FALSE,TRUE,"Rain",25,40.47159958,-79.86920166
"82","Sideswipe (Opposite dir.)",FALSE,"Saturday",1,FALSE,FALSE,FALSE,TRUE,"Rain",30,40.5,-79.81330109
"83","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Sleet (hail)",25,40.3771019,-80.09010315
"84","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Sleet (hail)",35,40.56219864,-80.22820282
"85","Head-on",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Sleet (hail)",20,40.39390182,-80.08260345
"86","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Rain",25,40.29100037,-79.89369965
"87","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,TRUE,"Sleet (hail)",65,40.65539932,-80.07279968
"88","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,TRUE,"Rain and fog",65,40.54499817,-79.82379913
"89","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Rain",35,40.52539825,-80.06980133
"90","Non collision",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Rain",25,40.38119888,-79.96649933
"91","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Sleet (hail)",35,40.55250168,-80.22709656
"92","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Sleet (hail)",25,40.56000137,-80.22429657
"93","Rear-end",FALSE,"Saturday",1,FALSE,TRUE,FALSE,FALSE,"No adverse conditions",25,40.46590042,-79.94950104
